# radius_AU intensity_Jy_per_sr
5.801801801801801872e+01 2.472864694817490877e-10
5.812312312312312201e+01 2.322990169983447176e-10
5.822822822822823241e+01 2.181822549948160390e-10
5.833333333333333570e+01 2.048879967171639718e-10
5.843843843843843899e+01 1.923705747100791984e-10
5.854354354354354939e+01 1.805867178760382213e-10
5.864864864864865268e+01 1.694954340307467658e-10
5.875375375375375597e+01 1.590578977370122507e-10
5.885885885885885926e+01 1.492373432063024031e-10
5.896396396396396966e+01 1.399989620642157271e-10
5.906906906906907295e+01 1.313098057829378952e-10
5.917417417417417624e+01 1.231386925904335808e-10
5.927927927927927954e+01 1.154561186726508949e-10
5.938438438438438993e+01 1.082341734913727189e-10
5.948948948948949322e+01 1.014464590465598000e-10
5.959459459459459651e+01 9.506801291807016215e-11
5.969969969969969981e+01 8.907523492754731473e-11
5.980480480480481020e+01 8.344581726699007086e-11
5.990990990990991349e+01 7.815867794610885108e-11
6.001501501501501679e+01 7.319389741599492238e-11
6.012012012012012008e+01 6.853265823191302657e-11
6.022522522522523047e+01 6.415718762314937950e-11
6.033033033033033377e+01 6.005070284282720572e-11
6.043543543543543706e+01 5.619735917543197114e-11
6.054054054054054035e+01 5.258220048448212537e-11
6.064564564564565075e+01 4.919111218731886487e-11
6.075075075075075404e+01 4.601077654840099080e-11
